iter	Passed	Remaining
0	251	251725
1	350	175086
2	454	151038
3	550	137013
4	639	127212
5	740	122676
6	857	121677
7	968	120059
8	1071	118018
9	1176	116494
10	1276	114731
11	1373	113051
12	1469	111538
13	1581	111417
14	1682	110495
15	1779	109423
16	1878	108611
17	1979	107966
18	2078	107295
19	2170	106372
20	2266	105684
21	2380	105842
22	2479	105338
23	2573	104675
24	2668	104056
25	2777	104058
26	2881	103828
27	2977	103346
28	3066	102670
29	3159	102150
30	3247	101525
31	3348	101302
32	3437	100726
33	3532	100354
34	3641	100409
35	3743	100236
36	3838	99911
37	3934	99595
38	4028	99260
39	4105	98531
40	4202	98287
41	4293	97937
42	4392	97760
43	4492	97606
44	4586	97327
45	4675	96972
46	4758	96485
47	4853	96264
48	4944	95964
49	5035	95665
50	5127	95414
51	5221	95190
52	5311	94905
53	5410	94775
54	5500	94511
55	5584	94135
56	5682	94013
57	5774	93786
58	5861	93484
59	5958	93343
60	6061	93303
61	6159	93189
62	6265	93184
63	6359	93014
64	6456	92881
65	6547	92653
66	6635	92400
67	6732	92274
68	6824	92078
69	6912	91832
70	6991	91483
71	7079	91244
72	7158	90897
73	7240	90599
74	7321	90297
75	7410	90095
76	7500	89912
77	7587	89685
78	7665	89362
79	7764	89286
80	7848	89047
81	7933	88814
82	7997	88362
83	8094	88269
84	8203	88308
85	8284	88049
86	8368	87821
87	8452	87596
88	8548	87500
89	8635	87314
90	8722	87131
91	8827	87120
92	8922	87021
93	9001	86760
94	9096	86660
95	9180	86446
96	9263	86238
97	9340	85974
98	9427	85796
99	9513	85617
100	9606	85507
101	9698	85383
102	9804	85382
103	9875	85083
104	9963	84927
105	10045	84720
106	10130	84550
107	10222	84433
108	10305	84244
109	10403	84176
110	10488	84001
111	10573	83836
112	10655	83639
113	10735	83432
114	10811	83199
115	10895	83028
116	10974	82827
117	11065	82706
118	11151	82561
119	11238	82413
120	11318	82221
121	11409	82110
122	11504	82025
123	11599	81942
124	11690	81833
125	11775	81682
126	11863	81549
127	11955	81447
128	12047	81345
129	12144	81274
130	12223	81082
131	12324	81041
132	12423	80984
133	12516	80888
134	12615	80830
135	12695	80652
136	12791	80575
137	12875	80426
138	12962	80292
139	13050	80167
140	13150	80116
141	13233	79962
142	13312	79783
143	13404	79684
144	13492	79562
145	13585	79465
146	13679	79379
147	13762	79225
148	13855	79133
149	13938	78985
150	14043	78960
151	14137	78871
152	14228	78767
153	14315	78641
154	14398	78493
155	14474	78309
156	14558	78173
157	14646	78050
158	14743	77983
159	14827	77845
160	14915	77728
161	15016	77675
162	15109	77588
163	15186	77416
164	15274	77295
165	15353	77136
166	15428	76957
167	15518	76853
168	15608	76748
169	15705	76680
170	15797	76585
171	15884	76466
172	15973	76360
173	16067	76274
174	16154	76155
175	16237	76021
176	16329	75929
177	16414	75799
178	16498	75670
179	16593	75590
180	16672	75439
181	16754	75301
182	16849	75226
183	16939	75121
184	17038	75063
185	17124	74943
186	17221	74870
187	17309	74760
188	17393	74634
189	17478	74511
190	17561	74382
191	17649	74274
192	17748	74213
193	17850	74163
194	17940	74062
195	18028	73952
196	18115	73839
197	18213	73774
198	18293	73631
199	18385	73543
200	18478	73454
201	18546	73269
202	18627	73132
203	18700	72968
204	18791	72875
205	18875	72751
206	18967	72661
207	19063	72586
208	19153	72490
209	19249	72415
210	19337	72308
211	19416	72169
212	19491	72016
213	19584	71931
214	19669	71815
