iter	Logloss
0	0.5588392838
1	0.4874452639
2	0.4466544701
3	0.4123962268
4	0.3900573558
5	0.3760037066
6	0.3658134047
7	0.3591842778
8	0.353128465
9	0.3473561017
10	0.3438104601
11	0.340959627
12	0.338384846
13	0.3367802696
14	0.3352214859
15	0.3328601544
16	0.3318357361
17	0.3297717803
18	0.328369942
19	0.3275078752
20	0.3266277632
21	0.3257726246
22	0.3247801948
23	0.3232260078
24	0.3228228087
25	0.3220397557
26	0.3215101435
27	0.3207817266
28	0.3203570191
29	0.3198550418
30	0.3193493991
31	0.3189893182
32	0.3187458146
33	0.3185424672
34	0.3183107011
35	0.3179123153
36	0.3175159851
37	0.3170363492
38	0.3168744362
39	0.316238129
40	0.3158945151
41	0.3156850352
42	0.3148194084
43	0.3142328769
44	0.3136253403
45	0.3133722039
46	0.3131865933
47	0.3128011265
48	0.3126100771
49	0.3123869798
50	0.3122545451
51	0.3120561807
52	0.3117574633
53	0.3116238548
54	0.3115245052
55	0.311368136
56	0.3111511785
57	0.3109314536
58	0.3106473876
59	0.3102923141
60	0.3102038037
61	0.3100797829
62	0.3099836426
63	0.3098271925
64	0.3097369042
65	0.3096633699
66	0.3094127729
67	0.3090588797
68	0.3089824254
69	0.3085907976
70	0.3084459923
71	0.3083377713
72	0.3082722393
73	0.3082239462
74	0.308150838
75	0.3080051129
76	0.3078318789
77	0.3076903661
78	0.3075047654
79	0.3070880817
80	0.3069769097
81	0.306840881
82	0.306693532
83	0.3065928273
84	0.3065313757
85	0.3064423637
86	0.3063632537
87	0.3062133743
88	0.3060876482
89	0.3060389811
90	0.3059418973
91	0.3058923132
92	0.3058145597
93	0.305687703
94	0.3056103961
95	0.3054150733
96	0.3052574738
97	0.3051848169
98	0.3050246454
99	0.3049035369
100	0.3048326444
101	0.3047603998
102	0.3047223219
103	0.3046437381
104	0.3045330616
105	0.3044538725
106	0.3043861753
107	0.3043289956
108	0.3042708454
109	0.3041982203
110	0.3041018997
111	0.304024432
112	0.303872202
113	0.3038211834
114	0.3036869377
115	0.3036425831
116	0.30356594
117	0.3034989721
118	0.3034222209
119	0.3033749084
120	0.303339373
121	0.3032284444
122	0.3030281492
123	0.3029527541
124	0.3028983609
125	0.3028186866
126	0.3027652788
127	0.3027323625
128	0.3026479038
129	0.302444819
130	0.3024007369
131	0.3023521444
132	0.3022287001
133	0.3021871582
134	0.3021542589
135	0.3021163463
136	0.3020242276
137	0.3019439254
138	0.3019002376
139	0.3018796358
140	0.3018061429
141	0.3017524413
142	0.3016420579
143	0.3015816485
144	0.3015384352
145	0.3015043975
146	0.301473452
147	0.3014209276
148	0.3012861517
149	0.3012470104
150	0.3011472586
151	0.3011065376
152	0.3010521704
153	0.30102712
154	0.3007597502
155	0.3007096925
156	0.3006658582
157	0.3006091084
158	0.3005215567
159	0.3004849893
160	0.3004363646
161	0.3004030687
162	0.3003776464
163	0.3003197319
164	0.3002679479
165	0.3002417864
166	0.3002059022
167	0.3001787276
168	0.3001560713
169	0.3001177952
170	0.3000734776
171	0.3000059947
172	0.2999665537
173	0.2998613529
174	0.2998331943
175	0.2998112284
176	0.2997524886
177	0.2997211313
178	0.2996757451
179	0.2996166825
180	0.2995208563
181	0.2994984609
182	0.299472681
183	0.2994516602
184	0.299365507
185	0.2993318813
186	0.2992604005
187	0.2992281466
188	0.2991719586
189	0.2991459345
190	0.2991253438
191	0.299107682
192	0.2990731018
193	0.2990426578
194	0.2990302189
195	0.2989892157
196	0.2989524307
197	0.2988868326
198	0.2988497818
199	0.2987649458
200	0.2987371413
201	0.2987085361
202	0.2986851126
203	0.2986334826
204	0.2985848666
205	0.2985521559
206	0.2984958691
207	0.2984714402
208	0.2984450707
209	0.2983560225
210	0.2982964677
211	0.2982610102
212	0.2982346253
213	0.2982187656
214	0.2981508047
215	0.2981078215
216	0.2980888665
217	0.2980672699
218	0.2980274447
219	0.2979740133
220	0.2979509307
221	0.2979041149
222	0.2978733325
223	0.2978454454
224	0.2978247839
225	0.2978038423
226	0.2977537774
227	0.2977335668
228	0.2977154632
229	0.297690788
230	0.2976504902
231	0.2976270138
232	0.2975429147
233	0.297512767
234	0.2974737134
235	0.2974154121
236	0.2973680664
237	0.2973452186
238	0.2973207531
239	0.2972997615
240	0.2972775667
241	0.2972652611
242	0.297241853
243	0.2971992196
244	0.2971637931
245	0.2971067782
246	0.2970576014
247	0.2970403514
248	0.2970018953
249	0.2969775202
250	0.2969425117
251	0.2969146101
252	0.296885041
253	0.296860524
254	0.2968261808
255	0.2967884205
256	0.2967345617
257	0.2966850971
258	0.2966691317
259	0.2966280449
260	0.2966103116
261	0.2964767291
262	0.2964521609
263	0.2964074562
264	0.2963920867
265	0.2963694253
266	0.2963510011
267	0.2963285891
268	0.2962992864
269	0.2962818575
270	0.2962530545
271	0.2962162786
272	0.2961831844
273	0.2961574448
274	0.296138622
275	0.296123117
276	0.2960803821
277	0.2960588029
278	0.2960403034
279	0.2960106056
280	0.2959976326
281	0.2959742894
282	0.2959529535
283	0.295937291
284	0.295910499
285	0.2958909768
286	0.2958769979
287	0.2958538235
288	0.2958299943
289	0.2957995348
290	0.2957824113
291	0.2957656545
292	0.2957325609
293	0.2957073437
294	0.2956855822
295	0.2956734472
296	0.2956579726
297	0.2956332736
298	0.2956076201
299	0.2955831675
300	0.2955565038
301	0.2955277687
302	0.2954978091
303	0.2954767829
304	0.2954600849
305	0.2954438141
306	0.2954188915
307	0.2953713298
308	0.2953485019
309	0.2953259927
310	0.2953040676
311	0.2952894821
312	0.2952603647
313	0.2952475058
314	0.2952205431
315	0.2952097486
316	0.2951945176
317	0.2951742576
318	0.2951379561
319	0.295116626
320	0.2950908882
321	0.2950544939
322	0.2950379298
323	0.2950166722
324	0.2949995169
325	0.2949818252
326	0.2949472845
327	0.2949298436
328	0.2949150389
329	0.2948950967
330	0.2948724533
331	0.2948564129
332	0.29483821
333	0.2948239446
334	0.2948012503
335	0.2947824018
336	0.2947696752
337	0.2947444367
338	0.2947309141
339	0.2947115759
340	0.2946903508
341	0.2946692514
342	0.2946483306
343	0.2946358476
344	0.294616788
345	0.2946046757
346	0.2945777759
347	0.2945597258
348	0.2945441526
349	0.2945169971
350	0.2945042487
351	0.2944879966
352	0.2944738821
353	0.2944471822
354	0.2944291468
355	0.2944104024
356	0.2943951155
357	0.2943807838
358	0.2943604451
359	0.2943389528
360	0.294325275
361	0.2943082118
362	0.2942818987
363	0.2942692111
364	0.2942563451
365	0.2942408259
366	0.2942266225
367	0.2942125696
368	0.2942002866
369	0.2941528029
370	0.2941413728
371	0.2941084421
372	0.2940842982
373	0.2940580387
374	0.2940408076
375	0.2940278349
376	0.2940189083
377	0.2940056004
378	0.2939832855
379	0.2939619626
380	0.2939471251
381	0.2939297988
382	0.2939105779
383	0.29388888
384	0.293869327
385	0.2938471144
386	0.2938324604
387	0.2938148377
388	0.2937800557
389	0.2937463534
390	0.2937323279
391	0.2937167008
392	0.2937038778
393	0.2936884071
394	0.2936644764
395	0.2936479062
396	0.2936320811
397	0.293620248
398	0.2935939727
399	0.2935782455
400	0.2935662171
401	0.2935525157
402	0.293499
403	0.2934867783
404	0.2934756503
405	0.2934407799
406	0.2934147627
407	0.2933948855
408	0.29337587
409	0.2933371827
410	0.2932955078
411	0.2932869225
412	0.2932735657
413	0.29325579
414	0.2932362766
415	0.2932170913
416	0.2932022044
417	0.2931750985
418	0.2931583079
419	0.2931444068
420	0.2931291461
421	0.2931167427
422	0.2931022387
423	0.293081909
424	0.2930600239
425	0.2930428551
426	0.2930091866
427	0.2929934348
428	0.2929716791
429	0.2929579307
430	0.2929420435
431	0.2929308514
432	0.2929108804
433	0.2929011523
434	0.2928866521
435	0.2928725351
436	0.2928561298
437	0.2928469184
438	0.2928341229
439	0.2928165605
440	0.292802184
441	0.292787964
442	0.2927731154
443	0.2927555312
444	0.2927153973
445	0.2926983333
446	0.2926865573
447	0.2926699698
448	0.2926493127
449	0.2926354329
450	0.2926236429
451	0.292605612
452	0.292592006
453	0.292579891
454	0.2925560338
455	0.2925431019
456	0.2925329882
457	0.2925139968
458	0.292501944
459	0.292493173
460	0.2924768334
461	0.2924621793
462	0.2924408049
463	0.2924193732
464	0.29240687
465	0.2923964094
466	0.2923728271
467	0.2923391317
468	0.2923199113
469	0.2923125591
470	0.2922972168
471	0.2922765749
472	0.2922610567
473	0.2922412874
474	0.2922248722
475	0.2922044186
476	0.2921933229
477	0.2921803316
478	0.2921660675
479	0.2921530617
480	0.2921408464
481	0.2921222357
