iter	Passed	Remaining
0	364	364267
1	566	282543
2	776	257958
3	977	243395
4	1199	238622
5	1417	234873
6	1621	230026
7	1832	227272
8	2056	226410
9	2272	224973
10	2488	223739
11	2693	221732
12	2901	220284
13	3106	218800
14	3298	216620
15	3515	216187
16	3757	217289
17	3992	217807
18	4210	217406
19	4440	217577
20	4702	219243
21	4924	218894
22	5128	217861
23	5337	217078
24	5562	216949
25	5784	216686
26	6004	216382
27	6227	216179
28	6421	214998
29	6671	215704
30	6895	215526
31	7133	215773
32	7341	215124
33	7571	215110
34	7795	214924
35	8014	214612
36	8232	214262
37	8479	214662
38	8714	214728
39	8925	214212
40	9164	214356
41	9373	213816
42	9617	214044
43	9830	213580
44	10063	213579
45	10267	212940
46	10506	213031
47	10709	212400
48	10914	211835
49	11124	211361
50	11344	211092
51	11540	210387
52	11743	209829
53	11977	209823
54	12158	208908
55	12393	208923
56	12606	208567
57	12826	208324
58	13047	208089
59	13267	207864
60	13496	207762
61	13719	207559
62	13970	207785
63	14200	207683
64	14450	207865
65	14691	207909
66	14937	208011
67	15175	207992
68	15384	207579
69	15586	207073
70	15798	206713
71	16031	206625
72	16221	205994
73	16428	205574
74	16648	205325
75	16872	205135
76	17123	205260
77	17367	205295
78	17612	205330
79	17818	204913
80	18051	204803
81	18238	204187
82	18457	203922
83	18706	203989
84	18912	203588
85	19111	203110
86	19292	202461
87	19540	202515
88	19764	202305
89	20007	202300
90	20255	202332
91	20486	202194
92	20720	202076
93	20918	201621
94	21153	201518
95	21369	201231
96	21604	201124
97	21803	200685
98	22030	200503
99	22239	200153
100	22498	200261
101	22744	200239
102	22968	200023
103	23173	199647
104	23375	199249
105	23612	199147
106	23862	199150
107	24043	198581
108	24260	198313
109	24426	197629
110	24628	197245
111	24855	197066
112	25044	196587
113	25246	196212
114	25430	195704
115	25609	195164
116	25811	194798
117	25991	194273
118	26206	194015
119	26410	193674
120	26615	193348
121	26834	193118
122	27053	192890
123	27252	192525
124	27498	192487
125	27695	192109
126	27933	192013
127	28171	191916
128	28368	191540
129	28583	191290
130	28821	191186
131	29036	190935
132	29260	190740
133	29485	190554
134	29738	190546
135	29946	190248
136	30161	189993
137	30408	189940
138	30605	189577
139	30828	189375
140	31058	189215
141	31258	188874
142	31509	188837
143	31753	188757
144	31989	188624
145	32228	188513
146	32421	188131
147	32667	188057
148	32878	187783
149	33118	187672
150	33320	187344
151	33550	187175
152	33785	187032
153	34025	186918
154	34231	186618
155	34453	186400
156	34648	186040
157	34836	185648
158	35040	185341
159	35275	185196
160	35473	184856
161	35674	184537
162	35885	184272
163	36115	184098
164	36316	183784
165	36524	183503
166	36709	183106
167	36929	182887
168	37154	182693
169	37378	182496
170	37598	182275
171	37821	182068
172	38054	181914
173	38248	181569
174	38467	181348
175	38706	181215
176	38939	181056
177	39174	180905
178	39371	180581
179	39619	180490
180	39839	180266
181	40046	179989
182	40270	179785
183	40514	179671
184	40738	179467
185	40956	179238
186	41172	179000
187	41420	178899
188	41611	178554
189	41837	178361
190	42021	177986
191	42232	177729
192	42458	177532
193	42683	177336
194	42901	177105
195	43099	176796
196	43339	176656
197	43551	176406
198	43784	176239
199	44018	176075
200	44237	175850
201	44471	175685
202	44721	175580
203	44963	175445
204	45205	175310
205	45377	174901
206	45583	174627
207	45805	174413
208	46006	174121
209	46222	173884
210	46458	173725
211	46697	173574
212	46906	173312
213	47122	173074
214	47325	172793
215	47539	172549
216	47761	172339
217	47991	172153
218	48215	171946
219	48455	171796
220	48667	171548
221	48875	171283
222	49115	171134
223	49326	170880
224	49525	170588
225	49743	170360
226	49961	170132
227	50187	169932
228	50408	169716
229	50587	169358
230	50818	169173
231	51044	168975
232	51258	168736
233	51507	168609
234	51746	168449
235	51980	168274
236	52190	168023
237	52425	167851
238	52674	167719
239	52887	167476
240	53113	167274
241	53344	167087
242	53580	166916
243	53825	166772
244	54028	166496
245	54246	166267
246	54447	165986
247	54654	165726
248	54874	165505
249	55128	165385
250	55372	165233
251	55578	164972
252	55807	164775
253	56030	164562
254	56240	164310
255	56489	164173
256	56718	163975
257	56957	163809
258	57175	163578
259	57429	163453
260	57663	163268
261	57897	163085
262	58132	162902
263	58383	162766
264	58625	162601
265	58830	162336
266	59040	162085
267	59225	161764
268	59477	161629
269	59727	161486
270	59974	161334
271	60190	161099
272	60395	160834
273	60629	160645
274	60846	160414
275	61057	160166
276	61278	159942
277	61500	159725
278	61719	159498
279	61918	159218
280	62131	158976
281	62353	158759
282	62575	158539
283	62805	158339
284	63021	158106
285	63255	157918
286	63473	157688
287	63666	157396
288	63891	157185
289	64124	156993
290	64363	156817
291	64586	156601
292	64790	156338
293	65013	156120
294	65268	155980
295	65491	155764
296	65740	155608
297	65972	155412
298	66209	155227
299	66433	155011
300	66621	154712
301	66821	154441
302	67073	154290
303	67289	154058
304	67502	153816
305	67713	153571
306	67921	153320
307	68112	153032
308	68340	152826
309	68556	152593
310	68785	152388
311	69005	152165
312	69219	151930
313	69458	151746
314	69663	151491
315	69902	151307
316	70139	151120
317	70330	150835
318	70543	150596
319	70735	150312
320	70978	150137
321	71221	149963
322	71465	149789
323	71667	149528
324	71926	149385
325	72153	149176
326	72394	148994
327	72635	148813
328	72858	148595
329	73095	148406
330	73323	148196
331	73504	147894
332	73725	147673
333	73950	147458
334	74184	147261
335	74417	147063
336	74630	146824
337	74839	146579
338	75060	146356
339	75287	146145
340	75482	145873
341	75708	145661
342	75906	145395
343	76135	145187
344	76377	145007
345	76615	144816
346	76846	144612
347	77023	144307
348	77207	144016
349	77455	143845
350	77697	143662
351	77944	143488
352	78143	143226
353	78378	143030
354	78622	142849
355	78864	142664
356	79115	142496
357	79342	142285
358	79571	142076
359	79802	141870
360	80033	141665
361	80272	141474
362	80498	141261
363	80731	141057
364	80974	140873
365	81203	140663
366	81423	140439
367	81658	140239
368	81897	140047
369	82120	139826
370	82356	139629
371	82592	139430
372	82826	139228
373	83058	139022
374	83314	138856
375	83554	138665
376	83784	138454
377	84008	138235
378	84244	138036
379	84455	137796
380	84680	137578
381	84876	137312
382	85116	137119
383	85318	136864
384	85559	136672
385	85789	136462
386	86011	136240
387	86245	136036
388	86479	135832
389	86689	135590
390	86918	135378
391	87157	135182
392	87384	134967
393	87584	134711
394	87828	134522
395	88074	134335
396	88275	134081
397	88499	133861
398	88734	133658
399	88973	133459
400	89202	133248
401	89428	133030
402	89697	132877
403	89938	132681
404	90181	132489
405	90439	132317
406	90669	132105
407	90907	131905
408	91132	131684
409	91368	131481
410	91613	131291
411	91842	131076
412	92073	130864
413	92303	130652
414	92543	130452
415	92790	130263
416	92981	129995
417	93222	129797
418	93422	129542
419	93644	129318
420	93873	129103
421	94100	128886
422	94336	128680
423	94531	128420
424	94763	128209
425	94996	127999
426	95202	127754
427	95390	127483
428	95606	127252
429	95825	127024
430	96011	126752
431	96229	126524
432	96435	126279
433	96651	126047
434	96860	125807
435	97067	125564
436	97261	125304
437	97482	125080
438	97691	124839
439	97905	124606
440	98104	124355
441	98304	124104
442	98508	123857
443	98699	123597
444	98884	123327
445	99087	123081
446	99292	122838
447	99539	122647
448	99738	122396
449	99987	122207
450	100209	121984
451	100427	121756
452	100618	121497
453	100845	121281
454	101054	121043
455	101263	120805
456	101480	120577
457	101693	120345
458	101920	120128
459	102149	119915
460	102373	119695
461	102598	119476
462	102795	119225
463	103009	118994
464	103236	118777
465	103472	118572
466	103701	118357
467	103908	118118
