Crime,Crimes,Police Station,Crime Category,Latitude,Longitude,Year
Murder,20,Algoapark,Contact Crimes,-33.9031712,25.5704957,2010
Attempted murder,14,Algoapark,Contact Crimes,-33.9031712,25.5704957,2010
Assault with the intent to inflict grievous bodily harm,158,Algoapark,Contact Crimes,-33.9031712,25.5704957,2010
Common assault,369,Algoapark,Contact Crimes,-33.9031712,25.5704957,2010
Common robbery,54,Algoapark,Contact Crimes,-33.9031712,25.5704957,2010
Robbery with aggravating circumstances,236,Algoapark,Contact Crimes,-33.9031712,25.5704957,2010
Rape,63,Algoapark,Sexual Offences,-33.9031712,25.5704957,2010
Sexual Assault,10,Algoapark,Sexual Offences,-33.9031712,25.5704957,2010
Attempted Sexual Offences,3,Algoapark,Sexual Offences,-33.9031712,25.5704957,2010
Contact Sexual Offences,14,Algoapark,Sexual Offences,-33.9031712,25.5704957,2010
Carjacking,15,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2010
Robbery at residential premises,14,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2010
Robbery at non-residential premises,48,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2010
Robbery of cash in transit,2,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2010
Bank robbery,0,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2010
Truck hijacking ,7,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2010
Arson,9,Algoapark,Contact-Related Crimes,-33.9031712,25.5704957,2010
Malicious damage to property,188,Algoapark,Contact-Related Crimes,-33.9031712,25.5704957,2010
Burglary at non-residential premises,303,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2010
Burglary at residential premises,265,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2010
Theft of motor vehicle and motorcycle,136,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2010
Theft out of or from motor vehicle,246,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2010
Stock-theft,0,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2010
All theft not mentioned elsewhere,523,Algoapark,Other Serious Crimes,-33.9031712,25.5704957,2010
Commercial crime,124,Algoapark,Other Serious Crimes,-33.9031712,25.5704957,2010
Shoplifting,102,Algoapark,Other Serious Crimes,-33.9031712,25.5704957,2010
Illegal possession of firearms and ammunition,12,Algoapark,Crime detected as a result of Police Action,-33.9031712,25.5704957,2010
Drug-related crime,43,Algoapark,Crime detected as a result of Police Action,-33.9031712,25.5704957,2010
Driving under the influence of alcohol or drugs,194,Algoapark,Crime detected as a result of Police Action,-33.9031712,25.5704957,2010
Sexual Offences detected as a result of police action,0,Algoapark,Crime detected as a result of Police Action,-33.9031712,25.5704957,2010
Murder,66,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2010
Attempted murder,93,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2010
Assault with the intent to inflict grievous bodily harm,752,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2010
Common assault,465,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2010
Common robbery,177,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2010
Robbery with aggravating circumstances,356,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2010
Rape,200,Bethelsdorp,Sexual Offences,-33.8705197,25.5124711,2010
Sexual Assault,16,Bethelsdorp,Sexual Offences,-33.8705197,25.5124711,2010
Attempted Sexual Offences,21,Bethelsdorp,Sexual Offences,-33.8705197,25.5124711,2010
Contact Sexual Offences,36,Bethelsdorp,Sexual Offences,-33.8705197,25.5124711,2010
Carjacking,19,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2010
Robbery at residential premises,31,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2010
Robbery at non-residential premises,21,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2010
Robbery of cash in transit,1,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2010
Bank robbery,0,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2010
Truck hijacking ,1,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2010
Arson,30,Bethelsdorp,Contact-Related Crimes,-33.8705197,25.5124711,2010
Malicious damage to property,687,Bethelsdorp,Contact-Related Crimes,-33.8705197,25.5124711,2010
Burglary at non-residential premises,56,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2010
Burglary at residential premises,560,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2010
Theft of motor vehicle and motorcycle,51,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2010
Theft out of or from motor vehicle,469,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2010
Stock-theft,0,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2010
All theft not mentioned elsewhere,934,Bethelsdorp,Other Serious Crimes,-33.8705197,25.5124711,2010
Commercial crime,41,Bethelsdorp,Other Serious Crimes,-33.8705197,25.5124711,2010
Shoplifting,12,Bethelsdorp,Other Serious Crimes,-33.8705197,25.5124711,2010
Illegal possession of firearms and ammunition,38,Bethelsdorp,Crime detected as a result of Police Action,-33.8705197,25.5124711,2010
Drug-related crime,94,Bethelsdorp,Crime detected as a result of Police Action,-33.8705197,25.5124711,2010
Driving under the influence of alcohol or drugs,103,Bethelsdorp,Crime detected as a result of Police Action,-33.8705197,25.5124711,2010
Sexual Offences detected as a result of police action,0,Bethelsdorp,Crime detected as a result of Police Action,-33.8705197,25.5124711,2010
Murder,10,Despatch,Contact Crimes,-33.803171,25.472662,2010
Attempted murder,10,Despatch,Contact Crimes,-33.803171,25.472662,2010
Assault with the intent to inflict grievous bodily harm,142,Despatch,Contact Crimes,-33.803171,25.472662,2010
Common assault,147,Despatch,Contact Crimes,-33.803171,25.472662,2010
Common robbery,32,Despatch,Contact Crimes,-33.803171,25.472662,2010
Robbery with aggravating circumstances,60,Despatch,Contact Crimes,-33.803171,25.472662,2010
Rape,51,Despatch,Sexual Offences,-33.803171,25.472662,2010
Sexual Assault,12,Despatch,Sexual Offences,-33.803171,25.472662,2010
Attempted Sexual Offences,5,Despatch,Sexual Offences,-33.803171,25.472662,2010
Contact Sexual Offences,7,Despatch,Sexual Offences,-33.803171,25.472662,2010
Carjacking,4,Despatch,Aggravated Robbery,-33.803171,25.472662,2010
Robbery at residential premises,7,Despatch,Aggravated Robbery,-33.803171,25.472662,2010
Robbery at non-residential premises,10,Despatch,Aggravated Robbery,-33.803171,25.472662,2010
Robbery of cash in transit,0,Despatch,Aggravated Robbery,-33.803171,25.472662,2010
Bank robbery,0,Despatch,Aggravated Robbery,-33.803171,25.472662,2010
Truck hijacking ,1,Despatch,Aggravated Robbery,-33.803171,25.472662,2010
Arson,7,Despatch,Contact-Related Crimes,-33.803171,25.472662,2010
Malicious damage to property,52,Despatch,Contact-Related Crimes,-33.803171,25.472662,2010
Burglary at non-residential premises,59,Despatch,Property-Related Crimes,-33.803171,25.472662,2010
Burglary at residential premises,182,Despatch,Property-Related Crimes,-33.803171,25.472662,2010
Theft of motor vehicle and motorcycle,39,Despatch,Property-Related Crimes,-33.803171,25.472662,2010
Theft out of or from motor vehicle,90,Despatch,Property-Related Crimes,-33.803171,25.472662,2010
Stock-theft,2,Despatch,Property-Related Crimes,-33.803171,25.472662,2010
All theft not mentioned elsewhere,250,Despatch,Other Serious Crimes,-33.803171,25.472662,2010
Commercial crime,29,Despatch,Other Serious Crimes,-33.803171,25.472662,2010
Shoplifting,31,Despatch,Other Serious Crimes,-33.803171,25.472662,2010
Illegal possession of firearms and ammunition,8,Despatch,Crime detected as a result of Police Action,-33.803171,25.472662,2010
Drug-related crime,64,Despatch,Crime detected as a result of Police Action,-33.803171,25.472662,2010
Driving under the influence of alcohol or drugs,63,Despatch,Crime detected as a result of Police Action,-33.803171,25.472662,2010
Sexual Offences detected as a result of police action,0,Despatch,Crime detected as a result of Police Action,-33.803171,25.472662,2010
Murder,51,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2010
Attempted murder,131,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2010
Assault with the intent to inflict grievous bodily harm,500,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2010
Common assault,465,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2010
Common robbery,93,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2010
Robbery with aggravating circumstances,261,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2010
Rape,106,Gelvandale,Sexual Offences,-33.9107082,25.5502497,2010
Sexual Assault,20,Gelvandale,Sexual Offences,-33.9107082,25.5502497,2010
Attempted Sexual Offences,7,Gelvandale,Sexual Offences,-33.9107082,25.5502497,2010
Contact Sexual Offences,7,Gelvandale,Sexual Offences,-33.9107082,25.5502497,2010
Carjacking,14,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2010
Robbery at residential premises,22,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2010
Robbery at non-residential premises,30,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2010
Robbery of cash in transit,6,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2010
Bank robbery,0,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2010
Truck hijacking ,1,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2010
Arson,8,Gelvandale,Contact-Related Crimes,-33.9107082,25.5502497,2010
Malicious damage to property,523,Gelvandale,Contact-Related Crimes,-33.9107082,25.5502497,2010
Burglary at non-residential premises,133,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2010
Burglary at residential premises,392,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2010
Theft of motor vehicle and motorcycle,62,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2010
Theft out of or from motor vehicle,312,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2010
Stock-theft,0,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2010
All theft not mentioned elsewhere,633,Gelvandale,Other Serious Crimes,-33.9107082,25.5502497,2010
Commercial crime,61,Gelvandale,Other Serious Crimes,-33.9107082,25.5502497,2010
Shoplifting,463,Gelvandale,Other Serious Crimes,-33.9107082,25.5502497,2010
Illegal possession of firearms and ammunition,54,Gelvandale,Crime detected as a result of Police Action,-33.9107082,25.5502497,2010
Drug-related crime,258,Gelvandale,Crime detected as a result of Police Action,-33.9107082,25.5502497,2010
Driving under the influence of alcohol or drugs,187,Gelvandale,Crime detected as a result of Police Action,-33.9107082,25.5502497,2010
Sexual Offences detected as a result of police action,0,Gelvandale,Crime detected as a result of Police Action,-33.9107082,25.5502497,2010
Murder,10,Humewood,Contact Crimes,-33.9737486,25.6259001,2010
Attempted murder,8,Humewood,Contact Crimes,-33.9737486,25.6259001,2010
Assault with the intent to inflict grievous bodily harm,116,Humewood,Contact Crimes,-33.9737486,25.6259001,2010
Common assault,380,Humewood,Contact Crimes,-33.9737486,25.6259001,2010
Common robbery,137,Humewood,Contact Crimes,-33.9737486,25.6259001,2010
Robbery with aggravating circumstances,318,Humewood,Contact Crimes,-33.9737486,25.6259001,2010
Rape,50,Humewood,Sexual Offences,-33.9737486,25.6259001,2010
Sexual Assault,14,Humewood,Sexual Offences,-33.9737486,25.6259001,2010
Attempted Sexual Offences,4,Humewood,Sexual Offences,-33.9737486,25.6259001,2010
Contact Sexual Offences,13,Humewood,Sexual Offences,-33.9737486,25.6259001,2010
Carjacking,15,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2010
Robbery at residential premises,29,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2010
Robbery at non-residential premises,42,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2010
Robbery of cash in transit,2,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2010
Bank robbery,0,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2010
Truck hijacking ,0,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2010
Arson,6,Humewood,Contact-Related Crimes,-33.9737486,25.6259001,2010
Malicious damage to property,394,Humewood,Contact-Related Crimes,-33.9737486,25.6259001,2010
Burglary at non-residential premises,199,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2010
Burglary at residential premises,722,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2010
Theft of motor vehicle and motorcycle,329,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2010
Theft out of or from motor vehicle,846,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2010
Stock-theft,0,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2010
All theft not mentioned elsewhere,1288,Humewood,Other Serious Crimes,-33.9737486,25.6259001,2010
Commercial crime,278,Humewood,Other Serious Crimes,-33.9737486,25.6259001,2010
Shoplifting,269,Humewood,Other Serious Crimes,-33.9737486,25.6259001,2010
Illegal possession of firearms and ammunition,17,Humewood,Crime detected as a result of Police Action,-33.9737486,25.6259001,2010
Drug-related crime,149,Humewood,Crime detected as a result of Police Action,-33.9737486,25.6259001,2010
Driving under the influence of alcohol or drugs,159,Humewood,Crime detected as a result of Police Action,-33.9737486,25.6259001,2010
Sexual Offences detected as a result of police action,0,Humewood,Crime detected as a result of Police Action,-33.9737486,25.6259001,2010
Murder,16,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2010
Attempted murder,16,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2010
Assault with the intent to inflict grievous bodily harm,278,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2010
Common assault,158,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2010
Common robbery,53,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2010
Robbery with aggravating circumstances,163,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2010
Rape,48,Ikamvelihle,Sexual Offences,-33.7972722,25.6083202,2010
Sexual Assault,5,Ikamvelihle,Sexual Offences,-33.7972722,25.6083202,2010
Attempted Sexual Offences,6,Ikamvelihle,Sexual Offences,-33.7972722,25.6083202,2010
Contact Sexual Offences,5,Ikamvelihle,Sexual Offences,-33.7972722,25.6083202,2010
Carjacking,17,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2010
Robbery at residential premises,20,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2010
Robbery at non-residential premises,7,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2010
Robbery of cash in transit,1,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2010
Bank robbery,0,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2010
Truck hijacking ,1,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2010
Arson,10,Ikamvelihle,Contact-Related Crimes,-33.7972722,25.6083202,2010
Malicious damage to property,91,Ikamvelihle,Contact-Related Crimes,-33.7972722,25.6083202,2010
Burglary at non-residential premises,10,Ikamvelihle,Property-Related Crimes,-33.7972722,25.6083202,2010
Burglary at residential premises,175,Ikamvelihle,Property-Related Crimes,-33.7972722,25.6083202,2010
Theft of motor vehicle and motorcycle,80,Ikamvelihle,Property-Related Crimes,-33.7972722,25.6083202,2010
Theft out of or from motor vehicle,65,Ikamvelihle,Property-Related Crimes,-33.7972722,25.6083202,2010
Stock-theft,0,Ikamvelihle,Property-Related Crimes,-33.7972722,25.6083202,2010
All theft not mentioned elsewhere,133,Ikamvelihle,Other Serious Crimes,-33.7972722,25.6083202,2010
Commercial crime,7,Ikamvelihle,Other Serious Crimes,-33.7972722,25.6083202,2010
Shoplifting,3,Ikamvelihle,Other Serious Crimes,-33.7972722,25.6083202,2010
Illegal possession of firearms and ammunition,16,Ikamvelihle,Crime detected as a result of Police Action,-33.7972722,25.6083202,2010
Drug-related crime,54,Ikamvelihle,Crime detected as a result of Police Action,-33.7972722,25.6083202,2010
Driving under the influence of alcohol or drugs,138,Ikamvelihle,Crime detected as a result of Police Action,-33.7972722,25.6083202,2010
Sexual Offences detected as a result of police action,0,Ikamvelihle,Crime detected as a result of Police Action,-33.7972722,25.6083202,2010
Murder,28,Kabega Park,Contact Crimes,-33.9399801,25.4985667,2010
Attempted murder,14,Kabega Park,Contact Crimes,-33.9399801,25.4985667,2010
Assault with the intent to inflict grievous bodily harm,266,Kabega Park,Contact Crimes,-33.9399801,25.4985667,2010
Common assault,273,Kabega Park,Contact Crimes,-33.9399801,25.4985667,2010
Common robbery,38,Kabega Park,Contact Crimes,-33.9399801,25.4985667,2010
Robbery with aggravating circumstances,112,Kabega Park,Contact Crimes,-33.9399801,25.4985667,2010
Rape,79,Kabega Park,Sexual Offences,-33.9399801,25.4985667,2010
Sexual Assault,13,Kabega Park,Sexual Offences,-33.9399801,25.4985667,2010
Attempted Sexual Offences,4,Kabega Park,Sexual Offences,-33.9399801,25.4985667,2010
Contact Sexual Offences,9,Kabega Park,Sexual Offences,-33.9399801,25.4985667,2010
Carjacking,4,Kabega Park,Aggravated Robbery,-33.9399801,25.4985667,2010
Robbery at residential premises,34,Kabega Park,Aggravated Robbery,-33.9399801,25.4985667,2010
Robbery at non-residential premises,17,Kabega Park,Aggravated Robbery,-33.9399801,25.4985667,2010
Robbery of cash in transit,3,Kabega Park,Aggravated Robbery,-33.9399801,25.4985667,2010
Bank robbery,0,Kabega Park,Aggravated Robbery,-33.9399801,25.4985667,2010
