iter	MultiClass
0	2.978629241
1	2.888845845
2	2.812343013
3	2.727971855
4	2.636684793
5	2.605002768
6	2.588255279
7	2.550277161
8	2.539009664
9	2.489299082
10	2.454947761
11	2.454324087
12	2.440215259
13	2.436420451
14	2.414036701
15	2.398424311
16	2.374916205
17	2.357668704
18	2.343496185
19	2.293531768
20	2.277430656
21	2.25968591
22	2.237887126
23	2.224302452
24	2.188047418
25	2.157107866
26	2.127590706
27	2.109548864
28	2.075797578
29	2.055359511
30	2.032089444
31	2.024478706
32	2.007258145
33	1.984322397
34	1.972588273
35	1.942351492
36	1.922613574
37	1.915649208
38	1.905406354
39	1.895890593
40	1.865888359
41	1.850643822
42	1.824885023
43	1.810170693
44	1.796188889
45	1.782099451
46	1.765322354
47	1.753568553
48	1.739049982
49	1.728762823
50	1.714378191
51	1.696938955
52	1.683319264
53	1.673595557
54	1.653242024
55	1.64413984
56	1.640157251
57	1.628354457
58	1.618835265
59	1.612912555
60	1.601603501
61	1.600587877
62	1.590910334
63	1.575018178
64	1.561220602
65	1.549235989
66	1.53885131
67	1.525559479
68	1.511984772
69	1.507530335
70	1.489528145
71	1.484646489
72	1.474341179
73	1.463984541
74	1.449496201
75	1.433182427
76	1.427038632
77	1.415031842
78	1.390244983
79	1.374820206
80	1.363589853
81	1.345541268
82	1.336267697
83	1.320179423
84	1.306132735
85	1.294112831
86	1.280203517
87	1.272201119
88	1.269559395
89	1.261882936
90	1.241462378
91	1.223317901
92	1.204920711
93	1.193366204
94	1.19111226
95	1.170497505
96	1.160769964
97	1.149702285
98	1.142160451
99	1.125019181
