iter	Passed	Remaining
0	56	5577
1	112	5506
2	175	5660
3	235	5650
4	295	5611
5	356	5590
6	423	5630
7	489	5633
8	551	5579
9	610	5493
10	676	5474
11	736	5403
12	798	5345
13	858	5272
14	918	5207
15	980	5148
16	1040	5079
17	1099	5009
18	1159	4941
19	1223	4892
20	1285	4835
21	1344	4766
22	1409	4717
23	1476	4674
24	1540	4621
25	1601	4557
26	1659	4487
27	1719	4421
28	1779	4357
29	1838	4288
30	1899	4228
31	1959	4164
32	2021	4103
33	2081	4041
34	2143	3980
35	2202	3916
36	2262	3852
37	2323	3790
38	2383	3727
39	2444	3666
40	2503	3602
41	2567	3545
42	2630	3486
43	2691	3425
44	2753	3365
45	2815	3304
46	2875	3242
47	2936	3181
48	2995	3117
49	3056	3056
50	3116	2994
51	3176	2931
52	3235	2869
53	3295	2807
54	3353	2743
55	3413	2681
56	3473	2620
57	3531	2557
58	3593	2496
59	3659	2439
60	3718	2377
61	3779	2316
62	3838	2254
63	3900	2193
64	3961	2133
65	4021	2071
66	4079	2009
67	4139	1947
68	4198	1886
69	4259	1825
70	4318	1764
71	4378	1702
72	4442	1643
73	4501	1581
74	4561	1520
75	4621	1459
76	4686	1399
77	4751	1340
78	4811	1278
79	4871	1217
80	4931	1156
81	4990	1095
82	5049	1034
83	5108	973
84	5167	911
85	5228	851
86	5288	790
87	5346	729
88	5407	668
89	5469	607
90	5530	547
91	5590	486
92	5649	425
93	5708	364
94	5774	303
95	5837	243
96	5897	182
97	5958	121
98	6018	60
99	6077	0
