iter	Passed	Remaining
0	56	5609
1	110	5429
2	170	5509
3	225	5420
4	286	5450
5	345	5420
6	403	5360
7	463	5333
8	519	5257
9	577	5201
10	633	5125
11	652	4784
12	711	4758
13	767	4716
14	824	4672
15	881	4629
16	939	4587
17	997	4544
18	1054	4493
19	1111	4446
20	1170	4404
21	1229	4359
22	1285	4305
23	1344	4256
24	1400	4201
25	1459	4154
26	1516	4099
27	1574	4048
28	1631	3994
29	1688	3940
30	1745	3884
31	1806	3838
32	1862	3781
33	1918	3724
34	1978	3674
35	2037	3621
36	2095	3567
37	2154	3515
38	2211	3458
39	2269	3404
40	2330	3353
41	2388	3298
42	2446	3242
43	2503	3185
44	2561	3131
45	2617	3073
46	2675	3016
47	2734	2961
48	2792	2906
49	2849	2849
50	2908	2794
51	2967	2739
52	3023	2681
53	3082	2626
54	3140	2569
55	3199	2514
56	3257	2457
57	3314	2400
58	3372	2343
59	3427	2285
60	3485	2228
61	3541	2170
62	3603	2116
63	3660	2059
64	3717	2001
65	3774	1944
66	3832	1887
67	3890	1830
68	3947	1773
69	4003	1715
70	4060	1658
71	4118	1601
72	4176	1544
73	4233	1487
74	4291	1430
75	4349	1373
76	4406	1316
77	4465	1259
78	4523	1202
79	4580	1145
80	4637	1087
81	4695	1030
82	4751	973
83	4812	916
84	4869	859
85	4926	801
86	4984	744
87	5040	687
88	5098	630
89	5155	572
90	5217	515
91	5273	458
92	5331	401
93	5389	344
94	5447	286
95	5507	229
96	5566	172
97	5622	114
98	5680	57
99	5738	0
